JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,O/H
8,FUL04,Draco119,[BS61]_119,'-2.93,<-2.18
10,SHE01,Draco24,[BS61]_24,'-2.34,'-1.84
12,COH09,DracoXI-2,[BSS2004]_Draco_J171917.5+580107.5,'-2.04,'-1.98
14,KOC08,Her2,[KCG2013]_Herc_308_205,'-2.07,'-0.93
16,KOC08,Her3,[KMG2008]_Her-3,'-2.09,'-1.18
35,LAI08,CS22957-022,2MASS_J00014549-0549465,'-2.92,'-2.19
36,ROE14b,CS22957-022,2MASS_J00014549-0549465,'-3.28,<-1.84
37,ROE10,CS22876-040,2MASS_J00045244-3413372,'-2.34,'-1.49
38,ROE14b,CS22876-040,2MASS_J00045244-3413372,'-2.47,'-2.01
48,HAN15,HE0010-3422,2MASS_J00130901-3405548,'-2.78,<-0.76
54,ROE14b,CS30339-015,2MASS_J00165810-3348175,'-3.0,<-2.19
66,ROE14b,CS22882-006,2MASS_J00215986-2929265,'-2.94,'-2.27
67,ROE14b,CS30339-052,2MASS_J00225014-3407207,'-2.69,'-2.18
70,ROE14b,CS30339-046,2MASS_J00252167-3630244,'-2.71,'-3.33
74,LUC03,HE0024-2523,2MASS_J00272766-2506281,'-2.72,'-2.18
82,ROE14b,CS22882-030,2MASS_J00302004-3020584,'-3.47,<-2.09
83,ROE14b,CS22882-012,2MASS_J00302250-2735272,'-2.76,'-2.63
99,ROE14b,CS22942-002,2MASS_J00463587-2443022,'-3.61,<-2.4
105,ROE14b,CS22942-011,2MASS_J00541299-2504338,'-2.88,'-2.05
110,SKU15,ET0097,2MASS_J00591209-3346208,'-2.03,'-1.36
111,GEI05,Star195,2MASS_J00595568-3346400,'-2.1,'-1.59
129,CAY04,CS22953-003,2MASS_J01021585-6143458,'-2.85,'-2.04
131,ROE14b,CS22953-003,2MASS_J01021585-6143458,'-3.13,<-1.96
135,HAN15,HE0100-1622,2MASS_J01025848-1606309,'-2.93,<-0.63
136,ROE14b,CS22942-035,2MASS_J01035747-2352452,'-3.08,<-2.24
147,ROE14b,CS22183-031,2MASS_J01090507-0443211,'-3.57,<-1.83
149,ROE14b,CS29514-017,2MASS_J01094480-2616549,'-2.35,'-1.96
154,HAN15,HE0109-4510,2MASS_J01120810-4454165,'-2.96,<-0.66
168,CAY04,CS29518-051,2MASS_J01241001-2815210,'-2.65,'-1.84
177,HAN15,HE0134-1519,2MASS_J01370537-1504227,'-3.98,<-1.08
190,SIV06,CS22958-042,2MASS_J02010743-5716588,'-2.85,'-1.52
211,HAN15,HE0233-0343,2MASS_J02362978-0330060,'-4.68,<-0.68
220,CAY04,CS22189-009,2MASS_J02414237-1328105,'-3.49,0.05
222,ROE14b,CS22189-009,2MASS_J02414237-1328105,'-3.92,<-2.41
229,HAN15,HE0243-3044,2MASS_J02451642-3032022,'-2.58,<-0.68
235,LAI08,CS22963-004,2MASS_J02564657-0451174,'-3.41,'-2.29
236,ROE14b,CS22963-004,2MASS_J02564657-0451174,'-4.09,<-1.8
239,LAI08,CS31078-018,2MASS_J03010069+0616318,'-2.83,'-1.89
244,CAY04,CS22968-014,2MASS_J03062950-5430325,'-3.57,'-2.61
245,COH13,HE0305-5442,2MASS_J03062950-5430325,'-3.3,<-1.71
247,ROE14b,CS22968-014,2MASS_J03062950-5430325,'-3.99,<-2.26
257,CAY04,CS22172-002,2MASS_J03142084-1035112,'-3.86,<-2.77
263,ROE14b,CS22185-007,2MASS_J03173604-1517227,'-3.06,<-2.12
276,ROE14b,CS22172-029,2MASS_J03304535-1037098,'-2.68,'-2.08
284,JON06,HE0338-3945,2MASS_J03395500-3935429,'-2.43,'-1.03
298,ROE14b,CS30494-003,2MASS_J03591002-2106479,'-2.97,<-2.04
299,ROE14b,CS29529-054,2MASS_J03592387-6210089,'-2.55,<-1.87
306,ROE14b,CS22177-009,2MASS_J04074064-2502439,'-3.42,<-2.3
311,CAY04,CS22169-035,2MASS_J04121388-1205050,'-3.04,0.05
313,ROE14b,CS22169-035,2MASS_J04121388-1205050,'-3.31,<-2.46
317,HAN15,HE0411-3558,2MASS_J04130905-3550386,'-2.81,<-0.51
320,ROE14b,CS22186-002,2MASS_J04135721-3646255,'-2.72,<-2.01
321,ROE14b,CS22186-017,2MASS_J04162226-3417576,'-2.82,<-2.03
324,ROE14b,CS22186-023,2MASS_J04194553-3651359,'-3.04,'-1.81
331,CAY04,CS22186-025,2MASS_J04243280-3709025,'-3.0,'-2.36
340,SIV06,CS31080-095,2MASS_J04442200-4513542,'-2.85,'-0.52
348,ROE14b,HE0454-4758,2MASS_J04552670-4753417,'-3.38,<-2.29
368,NOR07,HE0557-4840,2MASS_J05583926-4839567,'-4.73,<-1.69
373,FRE10a,UMa-S1,2MASS_J08495341+6308216,'-3.15,<-1.39
374,FRE10a,UMa-S2,2MASS_J08523350+6305009,'-3.28,<-0.85
375,FRE10a,UMa-S3,2MASS_J08525902+6305544,'-2.39,<-1.73
389,COH08,HE1012-1540,2MASS_J10145347-1555532,'-3.48,'-1.04
390,COH13,HE1012-1540,2MASS_J10145347-1555532,'-3.51,'-1.19
391,ROE14a,HE1012-1540,2MASS_J10145347-1555532,'-4.17,<-1.99
392,ROE14b,HE1012-1540,2MASS_J10145347-1555532,'-4.17,<-1.99
399,HAN15,HE1029-0546,2MASS_J10314811-0601439,'-3.28,<0.42
410,ROE14b,G146-76,2MASS_J10595749+4446439,'-2.08,'-1.9
420,ROE14b,HE1124-2335,2MASS_J11272694-2352056,'-3.36,<-2.17
450,HAN15,HE1218-1828,2MASS_J12211935-1845349,'-3.43,<-0.13
453,HAY09,HE1219-0312,2MASS_J12213413-0328396,'-2.97,'-2.49
463,FRE10a,ComBer-S1,2MASS_J12264344+2357026,'-2.36,<-1.62
464,FRE10a,ComBer-S2,2MASS_J12265545+2356095,'-2.93,<-1.35
465,FRE10a,ComBer-S3,2MASS_J12265667+2356117,'-2.58,<-1.84
504,SCH07,HE1305+0132,2MASS_J13081774+0116495,'-2.5,'-1.65
505,HAN15,HE1310-0536,2MASS_J13133118-0552124,'-4.15,<-1.35
511,ROE14a,CS22877-001,2MASS_J13135537-1211415,'-3.31,'-2.09
512,ROE14b,CS22877-001,2MASS_J13135537-1211415,'-3.31,'-2.09
522,AOK07c,BS16934-002,2MASS_J13294651+1615450,'-2.82,'-1.66
538,NOR10,Boo-1137,2MASS_J13583380+1421083,'-3.71,<-1.75
563,CUI13,HE1405-0822,2MASS_J14074295-0836143,'-2.37,'-1.09
572,HAN15,HE1429-0347,2MASS_J14322606-0400309,'-2.71,'-1.81
576,CAY04,BS16477-003,2MASS_J14325691+0646069,'-3.36,0.05
596,CAY04,CS30325-094,2MASS_J14543927+0421380,'-3.3,'-2.53
602,LAI08,CS30325-028,2MASS_J15051979+0617069,'-2.89,'-2.19
610,SHE01,UMiK,2MASS_J15085547+6715162,'-2.15,<-2.03
617,ROE14b,CS22890-024,2MASS_J15160539-0003578,'-2.77,'-1.64
625,ROE14b,CS30312-059,2MASS_J15344884-0123372,'-3.41,'-1.99
630,ROE14b,CS30312-100,2MASS_J15433166+0201174,'-2.69,'-1.75
638,LAI08,BS16084-160,2MASS_J16285078+5437067,'-3.19,'-2.79
645,CAY04,CS22878-101,2MASS_J16453144+0814454,'-3.29,0.05
648,ROE14a,CS22878-101,2MASS_J16453144+0814454,'-3.53,'-2.3
649,ROE14b,CS22878-101,2MASS_J16453144+0814454,'-3.53,'-2.3
657,COH09,Draco21456,2MASS_J17181038+5752090,'-2.39,'-1.82
670,ROE14a,CS22891-200,2MASS_J19351908-6142243,'-4.06,<-2.39
671,ROE14b,CS22891-200,2MASS_J19351908-6142243,'-4.06,<-2.39
674,CAY04,CS22891-209,2MASS_J19420216-6103446,'-3.29,'-2.47
676,ROE14b,CS22891-209,2MASS_J19420216-6103446,'-3.49,<-1.94
681,CAY04,CS22896-154,2MASS_J19422688-5658340,'-2.68,'-1.7
688,CAY04,CS22873-055,2MASS_J19534978-5940001,'-2.98,'-2.42
692,ROE14b,CS22873-128,2MASS_J20070379-5834575,'-3.32,<-1.97
697,CAY04,CS22885-096,2MASS_J20205117-3953301,'-3.81,0.05
700,NOR02,CS22885-096,2MASS_J20205117-3953301,'-3.66,'-2.82
701,ROE14b,CS22885-096,2MASS_J20205117-3953301,'-4.41,<-1.96
706,ROE14b,CS22950-046,2MASS_J20212839-1316336,'-4.12,<-1.73
708,ROE14b,CS22943-137,2MASS_J20262899-4300426,'-3.64,<-1.81
713,LAI08,CS30336-049,2MASS_J20452353-2842359,'-4.03,'-2.89
721,ROE14a,CS30314-067,2MASS_J20525098-3419405,'-3.31,'-2.2
722,ROE14b,CS30314-067,2MASS_J20525098-3419405,'-3.31,'-2.2
725,CAY04,CS22897-008,2MASS_J21031185-6505088,'-3.42,0.05
727,ROE14b,CS22897-008,2MASS_J21031185-6505088,'-3.83,<-1.97
734,ROE14a,CS29498-043,2MASS_J21035211-2942502,'-3.87,'-1.5
735,ROE14b,CS29498-043,2MASS_J21035211-2942502,'-3.87,'-1.5
742,ROE14a,CS30492-001,2MASS_J21055523-4210101,'-2.62,'-1.97
743,ROE14b,CS30492-001,2MASS_J21055523-4210101,'-2.62,'-1.97
745,ROE14b,CS30492-110,2MASS_J21214583-3808579,'-3.27,<-2.26
748,MAS06,CS30322-023,2MASS_J21303218-4616247,'-3.44,'-2.79
755,CAY04,CS29495-041,2MASS_J21363327-2818485,'-2.81,'-2.09
763,ROE14b,CS29495-042,2MASS_J21391140-2817544,'-2.54,'-1.48
771,LAI08,CS22944-032,2MASS_J21474322-1340227,'-2.97,'-2.09
772,ROE14b,CS22944-032,2MASS_J21474322-1340227,'-3.22,<-2.43
784,ROE14b,CS22965-016,2MASS_J21570791-0434083,'-3.13,'-2.09
789,CAY04,CS22956-050,2MASS_J21580583-6513271,'-3.32,'-2.16
790,ROE14b,CS22956-050,2MASS_J21580583-6513271,'-3.67,<-2.35
801,HAN15,HE2159-0551,2MASS_J22021636-0536483,'-2.81,<-1.71
806,CAY04,BS17569-049,2MASS_J22045836+0401321,'-2.85,0.05
811,ROE14b,CS22881-036,2MASS_J22075843-4044164,'-2.34,'-1.79
815,ROE14b,CS22960-048,2MASS_J22170156-4512169,'-3.91,<-1.76
819,CAY04,CS22892-052,2MASS_J22170165-1639271,'-3.04,'-2.51
826,ROE14b,CS22892-052,2MASS_J22170165-1639271,'-3.24,<-2.19
828,SNE03,CS22892-052,2MASS_J22170165-1639271,'-3.1,'-2.24
842,CAY04,CS29502-042,2MASS_J22214882+0228448,'-3.19,0.05
851,LAI08,CS29502-092,2MASS_J22223599-0138275,'-3.17,'-2.29
852,ROE14a,CS29502-092,2MASS_J22223599-0138275,'-3.3,'-2.17
853,ROE14b,CS29502-092,2MASS_J22223599-0138275,'-3.3,'-2.17
855,ROE14a,CS22960-064,2MASS_J22240014-4235160,'-2.77,<-1.84
856,ROE14b,CS22960-064,2MASS_J22240014-4235160,'-2.77,<-1.84
863,CAY04,CS29516-024,2MASS_J22261535+0251462,'-3.07,'-2.39
888,CAY04,CS29491-053,2MASS_J22365630-2831064,'-3.03,'-2.23
892,HAN15,HE2238-4131,2MASS_J22412267-4115571,'-2.75,<-1.05
893,HAN15,HE2239-5019,2MASS_J22422683-5004009,'-4.15,<-0.15
912,ROE14b,CS22888-002,2MASS_J23043723-3639579,'-2.93,<-2.13
925,ROE14b,CS22949-048,2MASS_J23260741-0550067,'-3.55,<-1.84
930,CAY04,CS22949-037,2MASS_J23262980-0239579,'-3.99,'-1.94
931,COH08,HE2323-0256,2MASS_J23262980-0239579,'-3.84,'-1.49
935,NOR02,CS22949-037,2MASS_J23262980-0239579,'-3.79,'-2.55
936,ROE14a,CS22949-037,2MASS_J23262980-0239579,'-4.38,<-1.99
937,ROE14b,CS22949-037,2MASS_J23262980-0239579,'-4.38,<-1.99
941,IVA03,CS22941-012,2MASS_J23282973-3248464,'-2.02,<0.83
950,ROE14b,CS22945-028,2MASS_J23311355-6629578,'-2.92,'-2.08
952,ROE14b,CS22941-017,2MASS_J23325017-3359254,'-3.11,<-2.12
961,ROE14b,CS22945-024,2MASS_J23364248-6535437,'-2.58,'-1.7
965,CAY04,CS22952-015,2MASS_J23372869-0547566,'-3.45,0.05
968,ROE14b,CS22952-015,2MASS_J23372869-0547566,'-3.87,<-2.03
984,CAY04,CS22966-057,2MASS_J23485776-2939228,'-2.61,'-1.58
995,ROE14b,CS22957-013,2MASS_J23554905-0522528,'-2.98,<-1.97
1001,ROE14a,CS22957-027,2MASS_J23591314-0353482,'-3.19,<-1.99
1002,ROE14b,CS22957-027,2MASS_J23591314-0353482,'-3.19,<-1.99
1021,RIC09,BD-043208,BD-04_3208,'-2.35,'-1.19
1031,RIC09,HE1144-1349,BD-13_3442,'-3.02,'-2.1
1034,ROE14b,HE1320-1339,BD-13_3695,'-3.18,'-2.35
1037,ROE14b,BD-155781,BD-15_5781,'-2.92,'-2.35
1041,CAY04,BD-16251,BD-16_251,'-2.9,'-2.26
1043,HIL02,CS31082-001,BD-16_251,'-2.9,'-2.17
1058,CAY04,BD-185550,BD-18_5550,'-3.06,'-2.59
1062,ROE14b,BD-185550,BD-18_5550,'-3.2,<-2.19
1066,ROE14b,BD-206008,BD-20_6008,'-3.0,<-2.48
1073,RIC09,BD+023375,BD+02_3375,'-2.39,'-1.67
1080,IVA03,G84-29a,BD+03_740,'-2.98,<-2.0
1081,IVA03,G84-29b,BD+03_740,'-2.76,<-1.96
1082,LAI08,G84-29,BD+03_740,'-2.7,<-1.59
1084,RIC09,BD+03740,BD+03_740,'-2.89,'-1.98
1102,RIC09,BD+092190,BD+09_2190,'-3.0,'-2.2
1116,ROE10,BD+102495,BD+10_2495,'-2.31,'-1.39
1117,ROE14b,BD+102495,BD+10_2495,'-2.16,'-1.95
1128,CAY04,BD+173248,BD+17_3248,'-2.04,'-1.33
1129,COW02,BD+173248,BD+17_3248,'-2.06,'-1.39
1141,RIC09,BD+202030,BD+20_2030,'-2.77,'-1.88
1145,RIC09,BD+203603,BD+20_3603,'-2.22,'-1.48
1151,LAI08,G170-47,BD+23_3130,'-2.57,'-1.89
1157,IVA03,BD+241676,BD+24_1676,'-2.5,'-1.49
1158,LAI08,BD+241676,BD+24_1676,'-2.62,'-1.84
1160,ROE14b,BD+241676,BD+24_1676,'-2.7,'-2.4
1169,RIC09,BD+262621,BD+26_2621,'-2.69,'-1.78
1181,RIC09,BD+371458,BD+37_1458,'-2.14,'-0.96
1183,ROE14b,G190-15,BD+38_4955,'-3.12,<-1.66
1188,ITO09,BD+44493,BD+44_493,'-3.73,'-2.12
1189,ITO13,BD+44493,BD+44_493,'-3.83,'-2.19
1190,PLA14b,BD+44493,BD+44_493,'-3.88,'-2.34
1199,IVA03,G251-54,BD+80_245,'-2.09,<-1.95
1200,ROE14b,BD+80245,BD+80_245,'-2.04,'-1.84
1202,LAI08,BS16077-007,BPS_BS_16077-0007,'-2.71,<-1.19
1205,HAN11,CS30317-056,BPS_BS_16477-0021,'-2.85,'-1.77
1223,ROE14b,CS22169-008,BPS_CS_22169-0008,'-2.85,'-1.98
1224,ROE14b,CS22171-031,BPS_CS_22171-0031,'-2.54,'-2.1
